GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
Waterproof coating,Apply a waterproof coating to exterior walls,ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",Flash Flooding,,SE - Coastal,,,,building,MED,Document notes that this treatment could be costly,MID to LONG,Longevity will depend on the quality and application of the coating,,Coating could impact appearance of exterior materials.,,,,,2023 UTSA Resilience Roadmap,,90
Seismic or structural reinforcement,Installing seismic or structural inforcement while minimizing impact on historic structure,ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",Flash Flooding,,"SE - Coastal, SE - Inland",,,,building,MED to HIGH,,MID to LONG,Longevitiy will depend on how reinforcement is undertaken.,Reinforcement should be undertaken in a manner that minimizes its impact on the historic fabric and character of the building. ,,,,,,"Standards for the Treatment of Historic Properties with Guidelines for Preserving, Rehabilitating, Restoring & Reconstruction Historic Buildings",,123
Increase tree canopy,"Increase the amount of greenness (tree canopy) within green spaces, parks, green corridors, and other spaces to reduce UHIE",ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"vegetation, Spatial patterns + views, ecological and natural systems, built features",,larger site,MED to HIGH,"Varies based on site. If green spaces exist, it may be fairly easy to increase the tree canopy within existing areas.",MID to LONG,Depends on species utilized and management.,Refer to local planting guidance with regards to best species for climate change predictions in area.,Consider contributing spatial patterns and views so new planting doesn't negatively impact them. Ensure new plantings don’t have aggressive roots if they are planted near historic structures. ,,"M.Chen et al., 2022",,,2024 Landscape Architecture Solutions to Extreme Heat,,18
Maintenance,Perform regular drainage improvements and inspections to prevent localized flooding,TEND / TELL (aphysical),Flooding (precipitation),Flash Flooding,,"SE - Coastal, SW - Mountain",,,,assembly,HIGH,Routine maintenance measure,SHORT,Requires ongoing operational practice,"FEMA Mitigation Ideas, P. 278",Reduces deterioration risk in vulnerable areas,,,AVE, Prevents system failure if done consistently,2013 Building Resilience in Boston,,40
Demolition,,ABANDON (leave),,,,"SE - Coastal, SE - Inland","Surface, Subsurface",,,building,LOW,,LONG,,Use as last resort; document property; salvage materials; protect neighboring sites; integrate into broader planning efforts.,Full documentation and evaluation required before action.,Consultation with SHPO/THPO is required,"Buyout zone, Lewisburg, PA",MAX,Risk eliminated,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,125–126
, Clear and maintain gutters and downspouts to prevent water overflow and foundation damage,ACCLIMATE (intrinsic),Flooding (precipitation),,,SE - Coastal,,,,"assembly, building",HIGH," Low-cost, simple, widely applicable",SHORT,Requires frequent repetition (biannual or after storms),Prevents water damage; moderate impact, Match existing gutter styles and materials,,"Charleston, SC",MAX,Significantly improves resistance to storm damage,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R3.4
Increase capacity,Install rainwater storage tanks for stormwater collection and reuse,ACCLIMATE (intrinsic),Flooding (precipitation),Landslides,,"SE - Coastal, SW - Mountain",,land use,,"assembly, larger site",LOW to MED,Requires site excavation and integration with existing infrastructure,MID,Replaceable tank systems,"EPA Cool Pavements Compendium, P 121",May need archaeological assessment for subsurface impact. Ensure compatibility with historic paving materials.,,Toronto,AVE,Effective for reducing peak flow and irrigation needs,2013 Building Resilience in Boston,,"39, 41"
Stabilization,"Stabilizing masonry walls with selective brick replacement and repointing, replacing historic materials in kind",ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",Flash Flooding,,"SE - Coastal, SE - Inland",,,,building,HIGH,Routine maintenance measure,MID to LONG,Longevitiy will depend on materials used.,,Identifying existing historic materials will be necessary.,,,,,2015 Coastal Adaptation Strategies: Case Studies,,13
Increase capacity,Build infiltration galleries and french drains to relieve water pressure and increase infiltration,PROTECT (extrinsic),Flooding (precipitation),Flash Flooding,,"SE - Coastal, SW - Mountain",,,,"assembly, larger site",MED,Installation requires excavation and planning,MID,Functional lifespan dependent on clogging and maintenance,Perform archeological study to prevent damage,Useful for foundation protection,,,,Mostly useful for foundation protection,2013 Building Resilience in Boston,,40
Protect Utilities,"Relocate or enclose HVAC, electrical, and plumbings systems above flood risk levels",PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",,,"SE - Coastal, SE - Inland",Subsurface,,,"assembly, operations + occupancy",MED,,MID,,Use watertight enclosures; elevate platforms; use backup power. Use unobtrusive locations; protect utilities with appropriate enclosures; ensure access and compatibility with building design., Avoid damaging significant spaces; use visual screening.,,"Hoboken, NJ; Fort Hancock, NJ",MAX,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,39–44
Temporary support,"Temporary support for saturated elements (such as massive timber ceilings), or elements that might float away (light bridges, walkways, timber roofs, small dwellings)",ACCLIMATE (intrinsic),"Increased Storm Surge frequency & severity, Flooding (precipitation)",Flash Flooding,Destruction,"SE - Coastal, SW - Mountain",,,,building,,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,95
Demolition and replacement,Demolition and replacement with flood-compliant building that would include floor elevations and flood resistant materials,ABANDON (leave),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,building,LOW,Demolition and replacement of a historic building would be costly and could have regulatory implications if building new in a historic district,MID to LONG,"Longevity would depend on durability on of new building, specific site conditions, and future weather events (i.e. the floor elevations might not be sufficient in the future)",,A new building might incompatible with historic context,,,,,2018 Flood Mitigation Guide: Maryland's Historic Buildings,,"3.37, 3.42"
Dampproofing foundation or wall base,"Dampproofing at the foundation
or base of wall to protect against rising damp or salt crystallization within walls",ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity",Flash Flooding,,SE - Coastal,,,,building,LOW to MED,Document notes that this treatment could be costly,MID to LONG,Longevity will depend on the quality of the dampproofing,,Dampproofing could alter appearance of exterior materials.,,,,,2023 UTSA Resilience Roadmap,,93
"Assess and, where possible, improve ventilation to minimize humidity",,PROTECT (extrinsic),Higher relative humidity,,,"SE - Coastal, SE - Inland",,,,building,MED to HIGH,Feasibility will depend on specific ventilation needs,MID to LONG,"If regularly performed, this could be a long-term strategy",,Ventilation enhancements would need to be undertaken with minimal impact to historic appearance and materials,,,,,2020 Adapt Northern Heritage Conservation Factsheets,,11
Splash blocks or drainage system,Install splash blocks or sub-grade drainage system to direct water away from building,ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity",Flash Flooding,,SE - Coastal,,,,building,MED to HIGH,"Document notes that splash could be installed without a professional, but a drainage system would require professional installation",MID to LONG,Longevity will depend on future storm conditions,,Introduction of new features should carefully consider impact to historic appearance and materials,,,,,2023 UTSA Resilience Roadmap,,94
Protect windows ,Install protective polycarbonate panels over windows that are hurricane-rated for impact and wind resistance.,ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity",Flash Flooding,,SE - Coastal,,,,building,MED to HIGH,Treatment feasibility will depend on number and type of windows. Numerous or unique window types may require professional installation,MID to LONG,Longevity will depend on window covers used and future storm conditions,,Introduction of new features should carefully consider impact to historic appearance and materials,,,,,2023 UTSA Resilience Roadmap,,95
Direct sunlight prevention,"filters, coatings",ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SW - Desert, SE - Coastal",,,,material,,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,96
Regular Maintenance and Inspection,"Biannual inspections; upkeep of gutters, painting, sealing joints, addressing rot; creating and maintaining a property-specific maintenance manual",ACCLIMATE (intrinsic),"Flooding (precipitation), High Wind Damage, Biological community changes, Higher relative humidity",,,SE - Coastal,,,,"building, assembly, material",HIGH,,LONG,,Encouraged by BAR; focus on retention of materials and proactive upkeep,"Preserve in-kind materials, minor repairs preferred over replacements",,"Charleston, SC",AVE,Continuously required,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R1.1–R1.4
Utilize temporary (short-lived) plantings to maintain forested conditions until disease resistant varieties are available.,Replace dead or diseased contributing vegetation with short-lived comparable species until disease resistant varieties are available for installation,ACCLIMATE (intrinsic),Biological community changes,Biological community changes,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"vegetation, ecological and natural systems",,,MED,"Depends on scale of planting/replacement. It's possible parks would be resistant to spending money on a temporary solution, but it may be worth doing if it protects a valuable understory condition.",SHORT to MID,"Depends on the species selected for replacement. These would still need to establish and mature to fulfil their purpose so it is short-term in a forest sense, not necessarily a human one.",Consider all aspects of replacement planting in terms of how it could affect existing understory and the overall character of the cultural landscape. ,Consult existing CLI and/or CLR documentation to confirm direction.,Confirm replacement tree species with associated tribes and/or THPOs.,"Rapidan Camp NHL District, Shenandoah National Park, Madison County, VA",,Proposed,2017 Climate Change and Cultural Landscapes,doimspp.sharepoint.com/sites/nps-waso-cr-vulnerability-adaptation/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FPlanning_Climate Change%2F2017_CLRG_CR_Climate-Change-and-Cultural-Landscapes%2Epdf&parent=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FPlanning_Climate Change,21
,"Add breathable insulation, air barriers, reflective paint to reduce heat gain and moisture",ACCLIMATE (intrinsic),"Increased average temperature, Higher relative humidity","Drought, Increased average temperature",,"SE - Coastal, SW - Desert",,,,assembly,MED,Requires assessment and compatible material selection,MID,Subject to product lifespan,DOE energy retrofit guidelines,Avoid impermeable barriers; match paint type to building age,,"Charleston, SC",AVE,Helps stabilize interior conditions,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,"R4.3, R4.7"
,Repairing or reopening operable transoms to enhance cross ventilation and daylighting,ACCLIMATE (intrinsic),"Increased average temperature, Higher relative humidity",Increased average temperature,,"SE - Coastal, SW - Desert",,,,assembly,MED,May require structural or component assessment; moderately complex,LONG,Durable if maintained,,Preserves original design intent; reversible and compatible,,,AVE,Improves ventilation but may be seasonal in utility,2011 NPS Guidelines on Sustainability for Rehabilitating Historic Buildings,,7
Efficiently maintain interior temperatures,Improve envelope insulation values,ACCLIMATE (intrinsic),Increased average temperature,,,SE - Inland,,,,building,MED,"Barriers can include costs as well as constrained sites and historic
structures and requirement to
keep portions of facilities open during construction for visitors and collections",MID to LONG,"This kind of effort is part of ongoing renovations at historic Smithsonian buildings, but projects are still underway and, thus, data is not available yet.","Measures for indicating progress
include energy analyses prepared as part of design stages as well as commissioning and audits after construction, including those for LEED certifcation.",Any impacts on building envelope will require sensitivity to historic building materials and design and may require design agency review.,,,,,2021-Smithsonian Climate Change Action Plan,,22
Maintain and revitalize traditional relationships and uses,"Involve youth in traditional harvesting activities, such as holding wild rice harvesting camps to teach youth traditional teachings, stories, and practices.",ACCLIMATE (intrinsic),Biological community changes,,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"vegetation, land use",,,MED to HIGH,,MID to LONG,,"Cultural and environmental education engages young people with the natural world through their culture and language, reinforcing their place in the world and respect for the relationships that sustain them. By encouraging elders and harvesters to pass along traditional knowledges to younger generations, the culture continues even as conditions are changing. ",Consider integrating interpretation of historic resources as a part of educational programming. ,Consult with THPO and other tribal representatives and knowledge holders,"Tribal Engagement Nett Lake School Sugar Camp, Bois Forte Reservation",,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,24
Maintain and revitalize traditional relationships and uses,Utilize traditional fire practices to encourage (important cultural plant) growth. Blueberries used as a specific example.,ACCLIMATE (intrinsic),"Biological community changes, Increased Wildfire",,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"vegetation, land use",,,MED to HIGH,,SHORT to MID,Part of cyclical maintenance regimes,,Consider the impacts of fire on historic resources (including archeology),Consult with THPO and other tribal representatives and knowledge holders,,,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,24
Efficiently maintain interior temperatures,"Add insulation in the ceiling, walls, and basement to reduce conduciton through the thermal envelope ",ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"building, assembly, material",MED to HIGH,,LONG,,“Adding insulation to an Existing House (Smart Approaches).” Oak Ridge National Labs. http://www.ornl.gov/sci/roofs+walls/insulation/ins_06.html,,,,,,2013 Building Resilience in Boston,,61
Efficiently maintain interior temperatures,"Low slope roofs: paints and surface treatments, single ply light color or reflective membranes
For steep sloped roofs: cool colored tiles, cool metal roofing",ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"building, assembly, material",MED,,MID to LONG,Longevity would depend on durability of materials used for cool roofing ,"""Reducing Urban Heat Islands: Compendium of Strategies- Cool Roofs."" US Environmental Protection Agency. http://www.epa.gov/hiri/resources/pdf/CoolRoofsCompendium.pdf",,,,,,2013 Building Resilience in Boston,,59
Maintenance,Citizen science monitoring - allowing stakeholders to partcipate and learn about preservation practices and take an active role.,TEND / TELL (aphysical),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Biological community changes","Increased average temperature, Landslides, Flash Flooding, Reduced Snowpack, Drought, Increased Wildfire, Biological community changes",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"building, operations + occupancy, larger site",HIGH,,LONG,,,,,KCC historic graveyards,,,Climate Change Risk Assessment for Kerry Graveyards,,27
Replacement with a movable structure,Replacing an existing structure with an easily movable structure,DISLOCATE (move),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",Flash Flooding,,"SE - Coastal, SE - Inland",,,,building,LOW to MED,Feasibility will depend on cost of a movable structure and impact of replacing an existing structure depending on its status (i.e. NR status),LONG,Replacement with a movable structure allows it to be moved to a less vulnerable location as necessary to keep pace with erosion and sea level rise.,,Removal/replacement of an existing structure will require first identifying its historic status ,,,,,2015 Coastal Adaptation Strategies: Case Studies,,42
Change the vibration frequency,"Passive mass damping, active dampers",ACCLIMATE (intrinsic),Intensified Wind,,Destruction,SE - Coastal,,,,building,MED,,LONG,,Helpful in the case of combined wind and other dynamic loading,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,94
Change wind flow conditions,Changing surface characteristics (improved roughness),ACCLIMATE (intrinsic),Intensified Wind,,Destruction,SE - Coastal,,,,"building, material",MED,,LONG,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,94
Waterproof coating,Waterproof coating on masonry walls,ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,building,MED,"Feasibility would depend on size of the structure, cost of the recoating. Document does not provide information on feasibility.",MID to LONG,Longevity will depend on the quality and application of the coating,,Coating could impact appearance of exterior materials.,,Marine Corps Installations East Camp LeJeune,,Results not reported in report,"2023_Climate Adaptation Guide 
for Cultural Resources",,55
Managing change,Building boardwalks to access buildings,ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,building,MED,"Depends on length of boardwalk, materials used.",MID to LONG,Longevity will depend on the  quality of materials and maintenance and specific site conditions to sustain the boardwalk,,"Introduction of boardwalks could impact historic views, spatial relationships, and other landscape features.",,,,,"2019 Informing Plans for Managing Resources of Cape Lookout National Seashore under Projected Climate Change, Sea-Level Rise, and Associated Impacts",,viii
Protecting utilities ,Raising the locations of electrical boxes,ACCLIMATE (intrinsic),Flooding (precipitation),,,SE - Coastal,,,,building,MED,"Feasibility would depend on which utilities are being moved, which will dictate cost and labor",MID to LONG,Longevity will depend on the  location electrical box/utilies are relocated to and specific site conditions ,,Relocation of eletrical boxes should be undertaken with minimal impact to appearance or materials on historic buildings,,Offutt AFB,,Results not detailed in report,"2023_Climate Adaptation Guide 
for Cultural Resources",,55
Removal of compromised elements,Remove saturated elements that create load hazard to other elements,DISLOCATE (move),Increased Storm Surge frequency & severity,,Destruction,SE - Coastal,,,,building,,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,95
"Taking advantage of useful existing historic features, regular maintenance, good repairs, and monitoring.","Using and maintaining existing characteristics and features of the 
historic building, its site, setting, and larger environment (e.g., shutters) that may help to avoid or minimize the impacts of natural 
hazards.",PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion","Landslides, Flash Flooding, Increased Wildfire",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,building,MED,Strategy requires the existence of historic features helpful in the event of natural hazards.,MID to LONG,Depends on the historic features in question.,,,,,,,"Standards for the Treatment of Historic Properties with Guidelines for Preserving, Rehabilitating, Restoring & Reconstruction Historic Buildings",,72
Relocate,Moving a historic building to a less vulnerable location (within the historic district) ,DISLOCATE (move),Flooding (precipitation),,,SE - Coastal,,,,building,MED,The model used in the study finds a 30-percent loss in integrity (assuming historic materials used in preservation).,LONG,Designed to extend the life of the building. Longevity will depend on future weather and storm events in relocated area.,This action requires core and shell preservation with historic materials as a first step.,Ensure historic resources are documented in situ prior to any relocation efforts.,,,,,2018_Optimizing Historic Preservation Under Climate Change,,34
Elevate and relocate,"Moving a historic building to a less vulnerable location  (within the historic district) and raising the minimum floor elevation to reduce likelihood of structural damage from storm-related flooding, sea level rise",DISLOCATE (move),Flooding (precipitation),,,SE - Coastal,,,,building,LOW to MED,The model used in the study finds a 61-percent loss in integrit (assuming historic materials used in preservation). Would have to weigh loss of integrity.  ,LONG,Designed to extend the life of the building. Longevity will depend on future weather and storm events in relocated area.,This action requires core and shell preservation with historic materials as a first step.,Ensure historic resources are documented in situ prior to any relocation efforts. Imapcts of a potential 61-percent loss of integrity should be considered.,,,,,2018_Optimizing Historic Preservation Under Climate Change,,34
,Install shear panels on exterior or interior wall studs to resist seismic and wind forces,ACCLIMATE (intrinsic),"Intensified Wind, Increased Storm Surge frequency & severity, Tidal Flooding",,,SE - Coastal,,,,"building, (immediate) site",MED,Requires access to framing and possible permitting,LONG,Durable upgrade to structure,"FEMA P-804, Preservation Brief 41",Minimize visibility of modifications,,"Charleston, SC",MAX,Significantly reduces racking and structural collapse,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R4.4
Efficiently maintain interior temperatures,Energy-efficient windows to maximize the insulating qualities of building openings,ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"assembly, building",MED,Feasibility would depend on the number of windows and impacts to a historic building's integrity,MID to LONG,Longevity would depend on durability of the windows,"""Design Guidance for New Windows in a Cold Climate."" Efficient Windows Collaborative (2013). http://www.efficientwindows.org/downloads/ColdDesignGuide.pdf",Installation of new windows in a historic building would impact integrity,,,,,2013 Building Resilience in Boston,,65
Efficiently maintain interior temperatures,Install air conditioning,ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,,,,,,,,,,,,,,
,Install drinking water stations,ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,,,,,,,,,,,,,,
Relocation,"Relocate building on same or different
parcel",DISLOCATE (move),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,building,LOW,"Moving a building is costly and requires abandonment of former location with removal of utilities, hazardous materials, foundations, and paving, as well as paving and landscaping at new location",MID to LONG,Longevity would depend on site conditions at the new site,,"The historic building would be severed from historic context, loss of building at former site may create a “hole” in the streetscape, historic landscapes and archeological resources may be affected, and ancillary buildings might not be relocated, altering historic relationship",,,,,2018 Flood Mitigation Guide: Maryland's Historic Buildings,,3.42
Constructed Inland Wetlands - NNBS,"Convert existing green spaces into constructed wetlands, construct new inland wetlands",ACCLIMATE (intrinsic),"flooding (precipitation), Biological community changes, inundation, Increased wildfire impacts",, ,SE - Inland,,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,168-180
Core and shell preservation,Preservation (core and shell) using historic materials,PROTECT (extrinsic),Flooding (precipitation),,,SE - Coastal,,,,building,HIGH,This strategy seems to be effective for improving the condition of a building while maintaining its integrity and significance.,LONG,Designed to extend the life of the building but will require regular maintenance.,"Core and shell preservation with historic materials is more optimal than with resilient material as historic materials do not negatively affect a building’s resource value to the same extent as using more modern, storm-resistant materials.",Materials used should be as similar as possible to the materials used in the original construction.,,,,,2018_Optimizing Historic Preservation Under Climate Change,,"8,  14"
Elevate,Elevating historic buildings while minimizing impacts to integrity by designing with local context in mind,PROTECT (extrinsic),Flooding (precipitation),,,SE - Coastal,,,,building,HIGH,It is a practical strategy that both prepares a historic building for weather-related events while also providing for sensitive treatment of historic materials and design.,LONG,Designed to extend the life of the building.,"Foundations should be based on local historically elevated foundations 
and also based on neighborhood/context specific examples.",Local architectural context should be throughly understood and used to inform design decisions.,,,,,2019_Dutch Dialogues Charleston,,"554, 555"
Vegetation control,Periodic training sessions on vegetation maintenance; Improved communication and regulation among caretakers and committee members; Role clarification and structured volunteer involvement,TEND / TELL (aphysical),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Biological community changes","Increased average temperature, Landslides, Flash Flooding, Reduced Snowpack, Drought, Increased Wildfire, Biological community changes",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,vegetation,,"larger site, (immediate) site, building",HIGH,,MID to LONG,,,,,KCC historic graveyards,,,Climate Change Risk Assessment for Kerry Graveyards,,27
Dry floodproofing,"Window and door barriers and shields (sandbags, drop-in/roll-up barriers, shields at door openings, floating barriers, and engineered barriers secured to walls and the ground) ",PROTECT (extrinsic),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,building,HIGH,,SHORT,"Meant to temporary, installed just prior to a weather event",Install barriers and shields in accessible locations and train and practice in preparation for flooding,,,,,,2018 Flood Mitigation Guide: Maryland's Historic Buildings,,"3.31, 3.32, 3.41"
Dry floodproofing,Sealing walls and slabs (asphalt-based coatings or a heavy-duty rubber membranes) to prevent infiltration through masonry and concrete,PROTECT (extrinsic),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,building,HIGH,,MID to LONG,Surfaces may require eventually resealing,,"Wall sealers may trap moisture in wall
system or promote condensation. Windows and doors may require modification to withstand later loads and prevent seepage",,,,,2018 Flood Mitigation Guide: Maryland's Historic Buildings,,3.41
Wet Floodproofing,Abandon basement level if below Design Flood Elevation (DFE),PROTECT (extrinsic),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,building,MED,,MID to LONG,Depends on site conditions and future weather events,"Requires modification of basement to allow
floodwater to enter and drain from
building and installation of flood openings",,,,,,2018 Flood Mitigation Guide: Maryland's Historic Buildings,,3.40
Wet Floodproofing,Raise first floor level above Design Flood Elevation (DFE) while maintaining exterior walls at existing elevation,PROTECT (extrinsic),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,building,MED,Raising the first floor may be costly,MID to LONG,Depends on site conditions and future weather events,"Requires modification of basement and first floor to address lateral and buoyancy forces,  modification of stairs, modification of windows and doors, and installation of flood openings
",,,,,,2018 Flood Mitigation Guide: Maryland's Historic Buildings,,3.40
Appropriate repairs,"Performing regular, appropriate maintenance on historic structures ito maintain both authenticity and stability.",ACCLIMATE (intrinsic),Tidal Flooding,,,SE - Coastal,,,,building,MED,The strategy requires commmitment to routine maintenance.,MID to LONG,"Depends on the quality of repairs, appropriateness of materials.",,Consider whether materials are consistent with original materials,,,,,2024_Daly_CR_Climate-Change-Adaptation_Domestic-Efforts-Towards-Climate-Heritage-Policy,,14
Wet Floodproofing,Abandon basement and first floor,PROTECT (extrinsic),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,building,LOW to MED,"Abandoning both the basement and first floor does not seem particularly feasible, depending on the building",MID to LONG,Depends on site conditions and future weather events,"Requires modification of basement and first-floor structures and first-floor walls to address lateral and buoyancy forces, modification of windows and doors at basement and first floor, and installation of flood openings ","Historic materials may be removed and
replaced with flood-damage-resistant
materials that do not retain the
appearance, workmanship, etc., of the
original material",,,,,2018 Flood Mitigation Guide: Maryland's Historic Buildings,,3.40
protect collections from building collapse,Move collections away from erosion /landslide zones,DISLOCATE (move),Coastal erosion,Landslides,"Deterioration, Destruction","SE - Coastal, SW - Mountain",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,,,
Generate prioritization for cultural resources,"Identify management banding (preserve, stabilize, ruin) that considers resource condition, use potential, and uniqueness to prepare for potential damage. ",TEND / TELL (aphysical),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,"Surface, Subsurface","Spatial patterns + views, vegetation, built features",,"building, (immediate) site",MED to HIGH,This process has been helpful even when incomplete in allowing managers to make educated decisions about disaster response with regards to cultural resources.,MID,,Work with associated SHPO and THPOs to streamline consultation for resources with high vulnerabilities.,,,Gateway National Recreation Area,,"This process was underway when Hurricane Sandy hit. The experience confirmed that prioritization will help with good rapid decision making in the face of future climate events. Yellowstone, Grand Teton, and NCRO are undertaking similar projects. ",2016 Cultural Resources Climate Change Strategy,,12
Maintain and revitalize cultural approaches to harvesting and caretaking,"Remove weak or sick trees during forest management activities to leave the stronger, healthier individuals behind",ACCLIMATE (intrinsic),"Biological community changes, Increased average temperature",,,,,,,,,,,,,,,,,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,29
Create dilation gaps,"Significant forces can be generated by volumetric changes in saturated materials, particularly timber elements. Dilation gaps at the end of timber beams or in floors to allow for expansion without damage to surrounding masonry",ACCLIMATE (intrinsic),Increased Storm Surge frequency & severity,,Destruction,SE - Coastal,,,,"building, assembly",,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,95
,"Install hurricane-rated fasteners and tension anchors at porches, posts, and framing",ACCLIMATE (intrinsic),"Intensified Wind, Increased Storm Surge frequency & severity",,,SE - Coastal,,,,"building, assembly",HIGH,Standard retrofit practice,LONG,"Once installed, offers decades of resilience",FEMA P-804,Anchor without compromising appearance,,"Charleston, SC",MAX, Prevents structural detachment and uplift,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,"R4.3, R4.5"
Plant trees or other vegetation to absorb and infiltrate water ,,PROTECT (extrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity, Inundation",,,SE - Coastal,,,,"building, (immediate) site",HIGH,,LONG,,,,,,,,2020 Adapt Northern Heritage Conservation Factsheets,,18
